Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-25,18.25,22.33,16.57,21.11,18300300,0,0
2020-03-26,22.25,24.86,22.08,23.14,18506600,0,0
2020-03-27,22.05,23.93,20.6,23.15,11426300,0,0
2020-03-30,22.83,24.7,21.5,24.33,10263000,0,0
2020-03-31,25.53,25.64,22.69,23.62,11631300,0,0
2020-04-01,21.93,22.69,20.65,20.87,9305100,0,0
2020-04-02,22.19,24.8,20.94,21.22,11990400,0,0
2020-04-03,22.4,22.51,18.27,20.06,14114500,0,0
2020-04-06,21.16,23.53,21.07,23.09,10180000,0,0
2020-04-07,25.39,26.0,22.1,22.51,14246900,0,0
2020-04-08,23.25,25.28,23.18,24.31,18008600,0,0
2020-04-09,26.07,27.27,24.03,25.63,15625800,0,0
2020-04-13,26.8,26.8,24.72,25.33,11670100,0,0
2020-04-14,25.32,26.46,25.32,26.3,11312400,0,0
2020-04-15,24.81,24.81,23.52,23.98,8269100,0,0
2020-04-16,24.01,24.11,21.9,21.95,11792600,0,0
2020-04-17,22.61,25.5,22.42,25.45,13646100,0,0
2020-04-20,23.44,25.91,22.75,24.85,9923400,0,0
2020-04-21,24.18,25.08,23.04,23.72,11871900,0,0
2020-04-22,24.9,25.3,24.09,24.69,9894300,0,0
2020-04-23,25.45,26.89,25.17,25.94,9947800,0,0
2020-04-24,26.26,26.68,25.4,25.76,10755800,0,0
